gene	n_psych_associations	psych_mapped_traits	disease_trait_labels	efo_uris	pubmed_ids	study_accessions
A2ML1	1	exploratory eye movement measurement	Exploratory eye movement dysfunction in schizophrenia (responsive search score)	http://www.ebi.ac.uk/efo/EFO_0007700	26242244	GCST003065
A2ML1 - PHC1	1	age at onset, major depressive disorder	Depression (age of onset)	http://www.ebi.ac.uk/efo/EFO_0004847, http://purl.obolibrary.org/obo/MONDO_0002009	35330412	GCST90104443
AATBC - MYL6P1	1	mental or behavioural disorder	Psychiatric symptomatology	http://www.ebi.ac.uk/efo/EFO_0000677	33762635	GCST90027270
AATK	7	Anxiety; depressive symptom measurement; major depressive disorder; neurotic disorder; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Depressive symptoms; Externalizing behaviour (multivariate analysis); Lifetime major depressive disorder (MTAG); Major depressive disorder (broad); Neuroticism; Worry	http://purl.obolibrary.org/obo/HP_0000739; http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0004257; http://www.ebi.ac.uk/efo/EFO_0007006	29942085; 30643256; 32231276; 34446935; 37985818; 38177345	GCST006478; GCST007340; GCST010017; GCST90061435; GCST90328131; GCST90449008; GCST90449009
ABCA1	11	anxiety measurement, non-high density lipoprotein cholesterol measurement; depressive symptom measurement, low density lipoprotein cholesterol measurement; depressive symptom measurement, non-high density lipoprotein cholesterol measurement	HDL x anxiety interaction (2df test); HDL x depression interaction (2df test); HDL x low social support interaction (2df test); LDL x depression interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0004611; http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0005689; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0005689	40537477	GCST90570647; GCST90570649; GCST90570665; GCST90570667; GCST90570669; GCST90570683; GCST90570685; GCST90570695; GCST90570697; GCST90570699; GCST90570703
ABCA12	1	attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	40962958	GCST90568441
ABCA13	1	major depressive disorder	Depression	http://purl.obolibrary.org/obo/MONDO_0002009	34586374	GCST90058032
ABCA5	2	anxiety measurement, low density lipoprotein cholesterol measurement; attempted suicide	LDL x anxiety interaction (2df test); Suicide attempts in schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004321; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0004611	31164008; 40537477	GCST008120; GCST90570671
ABCA6	2	schizophrenia, sex interaction measurement	Schizophrenia x sex interaction	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0008343	34099189	GCST012310; GCST012311
ABCA8	1	depressive symptom measurement, non-high density lipoprotein cholesterol measurement	HDL x depression interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0005689	40537477	GCST90570697
ABCA9 - ABCA6	2	depressive symptom measurement, low density lipoprotein cholesterol measurement	LDL x depression interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0004611	40537477	GCST90570673; GCST90570703
ABCA9-AS1	1	post-traumatic stress disorder	Post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	34177453	GCST90020063
ABCB1	5	schizophrenia	Schizophrenia; Schizophrenia (MTAG)	http://purl.obolibrary.org/obo/MONDO_0005090	26198764; 32606422; 35396580; 39753749	GCST003048; GCST010640; GCST010645; GCST90128471; GCST90503210
ABCB11	1	depressive symptom measurement, low density lipoprotein cholesterol measurement	LDL x depression interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0004611	40537477	GCST90570703
ABCB9	1	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy)	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337	35764056	GCST90134330
ABCC1	2	psychosis predisposition measurement; response to anticonvulsant	Psychosis proneness (perceptual aberration scale); Response to antiepileptic mood-stabilizing treatment in bipolar disorder	http://purl.obolibrary.org/obo/GO_0036277; http://www.ebi.ac.uk/efo/EFO_0008337	28525603; 32627186	GCST004685; GCST010579
ABCC4	1	mental or behavioural disorder	Transient mental disorders due to conditions classified elsewhere (PheCode 291.1)	http://www.ebi.ac.uk/efo/EFO_0000677	39024449	GCST90480738
ABCC8	2	alcohol dependence measurement; schizophrenia	Alcohol dependence symptom count; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0007835	29460428; 35396580	GCST005440; GCST90128471
ABCD1	1	mental or behavioural disorder	Bipolar disorder and schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000677	20889312	GCST000821
ABCD1P4 - PABPC1P9	1	depressive symptom measurement	Psychological distress	http://www.ebi.ac.uk/efo/EFO_0007006	30705256	GCST007297
ABCF1	3	major depressive disorder	Lifetime major depressive disorder (MTAG)	http://purl.obolibrary.org/obo/MONDO_0002009	37985818	GCST90449007; GCST90449008; GCST90449009
ABCF1 - PPP1R10	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	30285260	GCST007201
ABCG1	1	eating disorder	Eating disorder in bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0005203	26433762	GCST003132
ABCG2	2	depressive symptom measurement, response to antidepressant; response to antidepressant	Remission after antidepressant treatment in major depressive disorder; Response to antidepressants (symptom improvement) in major depressive disorder	http://purl.obolibrary.org/obo/GO_0036276; http://www.ebi.ac.uk/efo/EFO_0007006, http://purl.obolibrary.org/obo/GO_0036276	35712048	GCST90244577; GCST90244578
ABCG8	6	anxiety measurement, low density lipoprotein cholesterol measurement; depressive symptom measurement, low density lipoprotein cholesterol measurement	LDL x anxiety interaction (2df test); LDL x depression interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0004611; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0004611	40537477	GCST90570653; GCST90570671; GCST90570673; GCST90570687; GCST90570701; GCST90570703
ABHD17C	4	attention deficit hyperactivity disorder, risk-taking behaviour; schizophrenia; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Attention deficit hyperactivity disorder or risk-taking behavior (pleiotropy); Externalizing behaviour (multivariate analysis); Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0008579	34446935; 35396580; 38565336	GCST90061435; GCST90128471; GCST90429151
ABHD5 - RNU6-367P	8	LDL cholesterol change measurement, response to antipsychotic drug; schizophrenia; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Antipsychotic-induced LDL-cholesterol change in schizophrenia (6-week); Externalizing behaviour (multivariate analysis); Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0007804, http://purl.obolibrary.org/obo/GO_0097332	26198764; 28991256; 30285260; 34446935; 35396580; 38336841	GCST003048; GCST004946; GCST007201; GCST90061435; GCST90128471; GCST90454532
ABI1	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
ABI3BP	1	alcohol dependence	Alcohol dependence	http://purl.obolibrary.org/obo/MONDO_0007079	26365420	GCST003121
ABI3BP - ACTR3P3	2	major depressive disorder, COVID-19; nicotine dependence symptom count	Major depressive disorder or COVID-19 infection (pleiotropy); Nicotine dependence symptom count	http://purl.obolibrary.org/obo/MONDO_0002009, http://purl.obolibrary.org/obo/MONDO_0100096; http://www.ebi.ac.uk/efo/EFO_0009262	25555482; 37426090	GCST010105; GCST90296445
ABLIM2	1	cognitive behavioural therapy	Response to cognitive-behavioural therapy in major depressive disorder	http://www.ebi.ac.uk/efo/EFO_0007820	31123309	GCST008361
ABO	4	anxiety measurement, low density lipoprotein cholesterol measurement; depressive symptom measurement, low density lipoprotein cholesterol measurement; type 2 diabetes mellitus, major depressive disorder, coronary artery disease	LDL x anxiety interaction (2df test); LDL x depression interaction (2df test); Psycho-cardiometabolic multimorbidity (multivariate analysis)	http://purl.obolibrary.org/obo/MONDO_0005148, http://purl.obolibrary.org/obo/MONDO_0002009, http://www.ebi.ac.uk/efo/EFO_0001645; http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0004611; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0004611	37390107; 40537477	GCST90310232; GCST90570687; GCST90570701; GCST90570703
ABO - Y_RNA	1	depressive symptom measurement, low density lipoprotein cholesterol measurement	LDL x depression interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0004611	40537477	GCST90570673
ABRACL - HECA	1	obsessive-compulsive disorder	Neurocognitive measure (copy organization) in obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	37094658	GCST90277983
ABT1	2	major depressive disorder	Depression (broad); Lifetime major depressive disorder (MTAG)	http://purl.obolibrary.org/obo/MONDO_0002009	29662059; 37985818	GCST005902; GCST90449008
ABT1 - ZNF322	3	coffee consumption measurement, major depressive disorder; obsessive-compulsive disorder, major depressive episode, schizophrenia, anorexia nervosa, obesity; substance-related disorder	Decaffeinated coffee consumption or major depression disorder; Obesity class II and Anorexia nervosa or Major depressive disorder or Obsesive-compulsive disorder or Schizophrenia; Substance use disorder (pleiotropy)	http://purl.obolibrary.org/obo/MONDO_0002494; http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0007634, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://www.ebi.ac.uk/efo/EFO_0001073; http://www.ebi.ac.uk/efo/EFO_0006781, http://purl.obolibrary.org/obo/MONDO_0002009	35898629; 36137488; 37250466	GCST90134529; GCST90274726; GCST90624574
ACAD10 - ALDH2	1	diastolic blood pressure, major depressive disorder	Diastolic blood pressure x depressive symptoms interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0006336, http://purl.obolibrary.org/obo/MONDO_0002009	34734193	GCST90093267
ACADS - SPPL3	4	bipolar disorder, major depressive disorder; major depressive disorder; obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, bipolar disorder, autism spectrum disorder, schizophrenia, anorexia nervosa, major depressive disorder; schizophrenia	Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy); Bipolar disorder or major depressive disorder; Major depressive disorder (broad); Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0004895, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://purl.obolibrary.org/obo/MONDO_0002009	30285260; 31835028; 31926635; 38177345	GCST007205; GCST009600; GCST010416; GCST90328131
ACKR1	1	neutrophil count, response to clozapine	Neutrophil level response to clozapine in treatment-resistant schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004833, http://purl.obolibrary.org/obo/GO_0097338	30647433	GCST006987
ACKR2	1	lifestyle measurement, anxiety disorder measurement	Anxiety severity x hours spent watching television interaction	http://www.ebi.ac.uk/efo/EFO_0010724, http://www.ebi.ac.uk/efo/EFO_0007795	34877740	GCST90101749
ACKR3 - COPS8-DT	3	age at onset, alcohol dependence; major depressive disorder; mean fractional anisotropy measurement, white matter microstructure measurement	Alcohol dependence (age at onset); Depression in smokers; Total mean fractional anisotropy measurement in first episode schizophrenia	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004847, http://purl.obolibrary.org/obo/MONDO_0007079; http://www.ebi.ac.uk/efo/EFO_0008399, http://www.ebi.ac.uk/efo/EFO_0005674	24962325; 28924203; 30219690	GCST002477; GCST004996; GCST006427
ACO2	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
ACOD1 - RPL7P44	2	major depressive disorder; obsessive-compulsive disorder, Tourette syndrome	Major depressive disorder; Tourette's syndrome or obsessive-compulsive disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0004895	25158072; 34099189	GCST002682; GCST012304
ACOXL	4	attention function measurement; major depressive disorder	Attention function in attention deficit hyperactive disorder; Depression	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007636	26174813; 34586374	GCST003025; GCST90058032; GCST90058033
ACSBG1	1	attempted suicide	Suicide attempts in schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004321	31164008	GCST008120
ACSF2	1	lifestyle measurement, anxiety disorder measurement	Anxiety severity x hours spent watching television interaction	http://www.ebi.ac.uk/efo/EFO_0010724, http://www.ebi.ac.uk/efo/EFO_0007795	34877740	GCST90101749
ACSL1	1	anorexia nervosa, type 2 diabetes mellitus	Type 2 diabetes and Anorexia nervosa	http://purl.obolibrary.org/obo/MONDO_0005351, http://purl.obolibrary.org/obo/MONDO_0005148	36738649	GCST90624668
ACSM1	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	18347602; 20185149	GCST000164; GCST000607
ACSM3	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	18347602; 20185149	GCST000164; GCST000607
ACSS3	5	depressive symptom measurement; depressive symptom measurement, stressful life event measurement; major depressive disorder; substance-related disorder	Depressive symptoms; Depressive symptoms x stressful life events interaction (2df test); Severe depressive disorders in coronary artery disease; Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0002494; http://www.ebi.ac.uk/efo/EFO_0007006; http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0007781	30563176; 30718454; 41057643	GCST007230; GCST90461918; GCST90461920; GCST90704949; GCST90704952
ACSS3-AS1	1	substance-related disorder	Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494	41057643	GCST90704952
ACTBP15 - EP300	2	major depressive disorder	Depression; Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	29728651; 30718901	GCST005907; GCST007342
ACTBP8 - RNGTT	2	major depressive disorder	Depression in smokers	http://purl.obolibrary.org/obo/MONDO_0002009	30219690	GCST006427
ACTG1P17	1	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy)	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337	35764056	GCST90134330
ACTG1P22 - VRK2	14	bipolar disorder; major depressive disorder; major depressive episode, attention deficit hyperactivity disorder, schizophrenia, anorexia nervosa, obesity; obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, bipolar disorder, autism spectrum disorder, schizophrenia, anorexia nervosa, major depressive disorder; schizophrenia; stroke, major depressive disorder; substance-related disorder	Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy); Bipolar disorder (MTAG); Depression; Major depressive disorder; Major depressive disorder (broad); Major depressive disorder or stroke (pleiotropy); Obesity class II and Attention deficit hyperactivity disorder or Anorexia nervosa or Major depressive disorder or Schizophrenia; Schizophrenia; Schizophrenia (MTAG); Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0000712, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0004895, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007634, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://www.ebi.ac.uk/efo/EFO_0001073	28991256; 29728651; 30718901; 31740837; 31835028; 32606422; 33479212; 34159505; 34859065; 34924174; 36137488; 38177345; 41057643	GCST004946; GCST005907; GCST007342; GCST009337; GCST009600; GCST010640; GCST010641; GCST012091; GCST90020094; GCST90095484; GCST90239706; GCST90328131; GCST90624571; GCST90704949
ACTG1P23 - EI24P1	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
ACTL11P - MST1R	7	aggressive behavior quality, ADHD symptom measurement; attention deficit hyperactivity disorder; attention deficit hyperactivity disorder, autism spectrum disorder, intelligence; attention deficit hyperactivity disorder, gastroesophageal reflux disease; attention deficit hyperactivity disorder, risk-taking behaviour; mood disorder, major depressive disorder	Attention deficit hyperactivity disorder; Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy); Attention deficit hyperactivity disorder or risk-taking behavior (pleiotropy); Depressed affect; Disruptive behavior (multivariate analysis); Gastroesophageal reflux disease or attention-deficit/hyperactivity disorder (pleiotropy)	http://purl.obolibrary.org/obo/OBA_1000376, http://www.ebi.ac.uk/efo/EFO_0007860; http://www.ebi.ac.uk/efo/EFO_0003888; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003948; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0008579; http://www.ebi.ac.uk/efo/EFO_0004247, http://purl.obolibrary.org/obo/MONDO_0002009	29942085; 35764056; 36324656; 36702997; 36753304; 38565336; 40962958	GCST006475; GCST90134330; GCST90239692; GCST90269774; GCST90271340; GCST90429151; GCST90568441
ACTL7A	1	pursuit maintenance gain measurement	Pursuit maintenance gain in psychotic disorders	http://www.ebi.ac.uk/efo/EFO_0008433	29064472	GCST005028
ACTL8	1	major depressive disorder	Major depressive disorder (MTAG)	http://purl.obolibrary.org/obo/MONDO_0002009	33479212	GCST012090
ACTL8 - LINC01654	1	cognitive behavioural therapy	Response to cognitive-behavioural therapy in anxiety disorder	http://www.ebi.ac.uk/efo/EFO_0007820	31123309	GCST008359
ACTN1	1	post-traumatic stress disorder	Post-traumatic stress disorder (mental health questionnaire or predicted)	http://www.ebi.ac.uk/efo/EFO_0001358	35181757	GCST90103929
ACTN1-DT - RPS29P1	1	post-traumatic stress disorder	Post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	38637617	GCST90627736
ACTN2	3	social inhibition quality, attention deficit hyperactivity disorder, substance abuse; substance-related disorder	Externalizing behaviour (multivariate analysis); Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935; 41057643	GCST90061435; GCST90704949; GCST90704952
ACTN3	2	bipolar disorder; bipolar disorder, ulcerative colitis	Bipolar disorder; Bipolar disorder or ulcerative colitis (MTAG)	http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0000729	34002096; 38154582	GCST012465; GCST90454587
ACTN3-AS1	1	bipolar disorder, ulcerative colitis	Bipolar disorder or ulcerative colitis (MTAG)	http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0000729	38154582	GCST90454587
ACTN4P1 - RNU6-119P	1	trait in response to paliperidone, schizophrenia symptom severity measurement	Response to paliperidone in schizophrenia (positive Marder score)	http://purl.obolibrary.org/obo/OBA_2040132, http://www.ebi.ac.uk/efo/EFO_0007927	27846195	GCST004040
ACTN4P2 - MANEAL	3	post-traumatic stress disorder	Post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	38637617	GCST90627735; GCST90627736
ACTR3B - LINC01287	2	ADHD symptom measurement; major depressive disorder	Attention deficit hyperactivity disorder symptom score; Depression (broad)	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007860	27663945; 29662059	GCST003657; GCST005902
ACTR5	1	major depressive episode, major depressive disorder	Major depressive disorder and major depressive episode treated with electroconvulsive therapy	http://www.ebi.ac.uk/efo/EFO_0007634, http://purl.obolibrary.org/obo/MONDO_0002009	33483693	GCST012094
ACTR5 - PPP1R16B	8	attention deficit hyperactivity disorder, schizophrenia; autism spectrum disorder, schizophrenia; depressive symptom measurement; major depressive disorder; obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, bipolar disorder, autism spectrum disorder, schizophrenia, anorexia nervosa, major depressive disorder; schizophrenia	Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy); Autism spectrum disorder or schizophrenia; Depressive symptoms; Major depressive disorder (broad); Schizophrenia; Schizophrenia (MTAG); Schizophrenia vs ADHD (ordinary least squares (OLS))	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0004895, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007006	28540026; 30285260; 30643256; 31835028; 32606422; 33686288; 38177345	GCST004521; GCST007201; GCST007340; GCST009600; GCST010645; GCST90016618; GCST90328131
ACVR1B	4	depressive symptom measurement; major depressive disorder; neuroticism measurement, wellbeing measurement, depressive symptom measurement	Depression; Depressive symptoms; Major depressive disorder (MTAG); Social science traits (pleiotropy) (HIPO component 1)	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007006; http://www.ebi.ac.uk/efo/EFO_0007660, http://www.ebi.ac.uk/efo/EFO_0007869, http://www.ebi.ac.uk/efo/EFO_0007006	30289880; 30643256; 33479212; 37464041	GCST006665; GCST007340; GCST012090; GCST90319327
ACVR1B - TAMALIN	2	major depressive disorder	Depression; Major depressive disorder (broad)	http://purl.obolibrary.org/obo/MONDO_0002009	34924174; 38177345	GCST90239706; GCST90328131
ACYP2	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580; 39753749	GCST90128471; GCST90503210
ADAM10	5	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	28991256; 30285260; 35396580; 39753749	GCST004946; GCST007201; GCST90128471; GCST90503210
ADAM12	5	bipolar disorder, schizophrenia, sex interaction measurement, major depressive disorder; disease recurrence, bipolar disorder, schizophrenia, sex interaction measurement, major depressive disorder; exploratory eye movement measurement; oppositional defiant disorder measurement	Exploratory eye movement dysfunction in schizophrenia (number of eye fixations); Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder; Schizophrenia, bipolar disorder or major depressive disorder x sex interaction; Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction	http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0008343, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004952, http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0008343, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007679; http://www.ebi.ac.uk/efo/EFO_0007700	26184070; 26242244; 27021288; 34099189	GCST003030; GCST003068; GCST003472; GCST012295; GCST012301
ADAM15	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
ADAM17	1	age at onset, alcohol dependence	Alcohol dependence (age at onset)	http://www.ebi.ac.uk/efo/EFO_0004847, http://purl.obolibrary.org/obo/MONDO_0007079	24962325	GCST002477
ADAM19	3	bipolar disorder, body mass index; mental or behavioural disorder	Bipolar disorder (body mass index interaction); Bipolar disorder and schizophrenia	http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0004340; http://www.ebi.ac.uk/efo/EFO_0000677	20889312; 24322204	GCST000821; GCST002306
ADAM20P3 - ZFP42	2	antipsychotic drug use measurement	antipsychotic drug dosage in schizophrenia or schizoaffective disorder	http://www.ebi.ac.uk/efo/EFO_0007792	26821981	GCST003341
ADAM21P1 - COX16	1	obsessive-compulsive disorder	Neurocognitive measure (copy organization) in obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	37094658	GCST90277983
ADAM24P - SLC7A2	1	conduct disorder	Conduct disorder	http://www.ebi.ac.uk/efo/EFO_0004216	20585324	GCST000714
ADAM29 - TSEN2P1	1	sex interaction measurement, major depressive disorder	Major depressive disorder x sex interaction	http://www.ebi.ac.uk/efo/EFO_0008343, http://purl.obolibrary.org/obo/MONDO_0002009	34099189	GCST012305
