gene	n_psych_associations	psych_mapped_traits	disease_trait_labels	efo_uris	pubmed_ids	study_accessions
LINC01867	1	Borderline personality disorder	Borderline personality disorder	http://purl.obolibrary.org/obo/HP_0012076	28632202	GCST004641
LINC01871 - LINC00299	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
LINC01875 - TMEM18	6	attention deficit hyperactivity disorder; attention deficit hyperactivity disorder, obesity; attention deficit hyperactivity disorder, type 2 diabetes mellitus; smoking status measurement, Cannabis use, schizophrenia; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Attention deficit hyperactivity disorder; Attention deficit hyperactivity disorder (ADuLT model adjusted for sex); Cannabis smoking or cigarette smoking or schizophrenia; Externalizing behaviour (multivariate analysis); Obesity class II and attention deficit hyperactivity disorder; Type 2 diabetes and Attention deficit hiperactivty disorder	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0003888; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005148; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0001073; http://www.ebi.ac.uk/efo/EFO_0006527, http://www.ebi.ac.uk/efo/EFO_0007585, http://purl.obolibrary.org/obo/MONDO_0005090	34446935; 35235886; 36137488; 36738649; 37689771; 40962958	GCST90061435; GCST90103805; GCST90275136; GCST90568441; GCST90624545; GCST90624667
LINC01876	18	Anxiety; anxiety measurement; attention deficit hyperactivity disorder; attention deficit hyperactivity disorder, autism spectrum disorder, intelligence; bipolar disorder, major depressive disorder; depressive symptom measurement; major depressive disorder; mood disorder, major depressive disorder; neurotic disorder; obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, bipolar disorder, autism spectrum disorder, schizophrenia, anorexia nervosa, major depressive disorder; schizophrenia, intelligence, self reported educational attainment; stroke, major depressive disorder; substance-related disorder	Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy); Anxiety; Attention deficit hyperactivity disorder; Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy); Bipolar disorder or major depressive disorder; Cognitive ability, years of educational attainment or schizophrenia (pleiotropy); Depressed affect; Depression; Depressive symptoms; Major depressive disorder; Major depressive disorder (broad); Major depressive disorder or stroke (pleiotropy); Neuroticism; Substance use disorder; Worry	http://purl.obolibrary.org/obo/HP_0000739; http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784; http://www.ebi.ac.uk/efo/EFO_0000712, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0003888; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337; http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0004895, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004247, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004257; http://www.ebi.ac.uk/efo/EFO_0007006; http://www.ebi.ac.uk/efo/EFO_0009863	18821565; 29700475; 29942085; 30643256; 30718901; 31374203; 31835028; 31926635; 32231276; 33859377; 34045744; 34859065; 34924174; 35764056; 37464041; 38177345; 41057643	GCST000281; GCST005839; GCST006475; GCST006478; GCST007340; GCST007342; GCST008595; GCST009600; GCST010017; GCST010416; GCST012354; GCST90020227; GCST90095484; GCST90134330; GCST90239706; GCST90319327; GCST90328131; GCST90704949
LINC01877	4	schizophrenia	Schizophrenia; Schizophrenia (MTAG)	http://purl.obolibrary.org/obo/MONDO_0005090	26198764; 31740837; 34159505; 35396580	GCST003048; GCST009337; GCST90020095; GCST90128471
LINC01884	8	bipolar disorder; schizophrenia; substance-related disorder	Bipolar disorder (MTAG); Schizophrenia; Schizophrenia (MTAG); Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0005090	26198764; 28991256; 30285260; 33479212; 34159505; 41057643	GCST003048; GCST004946; GCST007201; GCST012089; GCST90020094; GCST90020095; GCST90704949
LINC01898 - LINC01893	1	attention function measurement	Attention function in attention deficit hyperactive disorder	http://www.ebi.ac.uk/efo/EFO_0007636	26174813	GCST003025
LINC01899 - CBLN2	8	schizophrenia; trait in response to paliperidone, schizophrenia symptom severity measurement	Response to paliperidone in schizophrenia (CGI-S score); Response to paliperidone in schizophrenia (PANSS score); Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/OBA_2040132, http://www.ebi.ac.uk/efo/EFO_0007927	26198764; 27846195; 31740837; 35396580; 39753749	GCST003048; GCST004039; GCST004042; GCST009337; GCST90128471; GCST90503210
LINC01900	2	depressive symptom measurement, stressful life event measurement	Depressive symptoms x stressful life events interaction (1df test); Depressive symptoms x stressful life events interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0007781	30718454	GCST90461916; GCST90461917
LINC01905	14	schizophrenia; schizophrenia, obesity; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis); Obesity class II and Schizophrenia; Schizophrenia; Schizophrenia (MTAG)	http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0001073; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	26198764; 28991256; 30285260; 31740837; 32606422; 34446935; 35396580; 36137488	GCST003048; GCST004946; GCST007201; GCST009337; GCST010640; GCST010645; GCST90061435; GCST90128471; GCST90624549
