pmid,title,overlap_cpgs,overlap_genes,num_cpgs,num_genes
23332324,Child Abuse and Epigenetic Mechanisms of Disease Risk,,PTPRN2,0,1
24618023,Childhood abuse is associated with methylation of multiple loci in adult DNA,,DNAJB6; NEDD4L,0,2
25612291,Borderline personality disorder and childhood maltreatment: a genome-wide methylation analysis,,ADARB2,0,1
27643477,Epigenetic signatures of childhood abuse and neglect: Implications for psychiatric vulnerability,,DNAJB6; LOC338799; PRDM15; WBSCR17,0,4
28241754,DNA methylation profiles of elderly individuals subjected to indentured childhood labor and trauma,,UGT1A10,0,1
33414392,A genome-wide methylation study reveals X chromosome and childhood trauma methylation alterations associated with borderline personality disorder,,UGT1A10,0,1
34592358,Differential regulation of the DNA methylome in adults born during the Great Chinese Famine in 1959-1961,,PTPRN2,0,1
